"","id","trial_number","practice_trial","made_first_choice","made_final_choice","trial_set","order","added_gamble","risky_amount","risky_probability","safe_amount","safe_probability","decoy_amount","decoy_probability","first_left_gamble","first_right_gamble","first_response","first_response_gamble","final_left_gamble","final_right_gamble","final_response","final_response_gamble","random_trial","first_reaction_time","final_reaction_time"
"2723","id0021",41,0,1,1,"riskyDecoy","SDR","R",74,0.23,27,0.64,74,0.13,"S","D","j","D","R","D","f","R",0,906,572
"2724","id0021",42,0,1,1,"safeDecoy","DRS","S",95,0.31,38,0.78,33,0.78,"D","R","j","R","S","R","j","R",0,815,675
"2725","id0021",43,0,1,1,"riskyDecoy","SRD","D",76,0.33,43,0.59,76,0.23,"S","R","j","R","D","R","j","R",0,664,584
"2726","id0021",44,0,1,1,"riskyDecoy","DRS","S",80,0.35,35,0.8,80,0.25,"D","R","j","R","R","S","f","R",0,859,577
"2727","id0021",45,0,1,1,"riskyDecoy","DSR","R",70,0.39,43,0.64,70,0.29,"D","S","f","D","R","D","f","R",0,642,661
"2728","id0021",46,0,1,1,"safeDecoy","DSR","R",89,0.28,42,0.59,37,0.59,"D","S","j","S","S","R","j","R",0,1182,1440
"2729","id0021",47,0,1,1,"safeDecoy","RDS","S",77,0.29,28,0.8,20,0.8,"R","D","f","R","S","R","j","R",0,734,464
"2730","id0021",48,0,1,1,"safeDecoy","RSD","D",85,0.24,31,0.65,23,0.65,"R","S","f","R","D","R","j","R",0,771,441
"2731","id0021",49,0,1,1,"safeDecoy","SDR","R",77,0.24,29,0.64,24,0.64,"S","D","f","S","R","S","f","R",0,879,1344
"2732","id0021",50,0,1,1,"safeDecoy","SRD","D",100,0.32,44,0.72,38,0.72,"S","R","j","R","R","D","f","R",0,853,502
"2733","id0021",51,0,1,1,"riskyDecoy","RDS","S",87,0.23,35,0.57,87,0.11,"R","D","f","R","R","S","f","R",0,986,548
"2734","id0021",52,0,1,1,"riskyDecoy","RSD","D",94,0.33,42,0.74,94,0.19,"R","S","f","R","D","R","j","R",0,482,634
"2735","id0021",53,0,1,1,"safeDecoy","DRS","S",93,0.4,54,0.69,45,0.69,"D","R","j","R","R","S","f","R",0,829,1127
"2736","id0021",54,0,1,1,"safeDecoy","DSR","R",88,0.42,55,0.67,49,0.67,"D","S","j","S","R","S","f","R",0,1047,926
"2737","id0021",55,0,1,1,"safeDecoy","RDS","S",92,0.43,57,0.7,51,0.7,"R","D","f","R","S","R","j","R",0,757,602
"2738","id0021",56,0,1,1,"safeDecoy","RSD","D",96,0.36,47,0.74,40,0.74,"R","S","f","R","D","R","j","R",0,798,540
"2739","id0021",57,0,1,1,"riskyDecoy","SDR","R",72,0.25,28,0.64,72,0.14,"S","D","f","S","R","S","f","R",0,1114,1429
"2740","id0021",58,0,1,1,"riskyDecoy","SRD","D",91,0.39,65,0.55,91,0.27,"S","R","f","S","D","S","j","S",0,1522,668
"2741","id0021",59,0,1,1,"riskyDecoy","DRS","S",87,0.3,41,0.64,87,0.19,"D","R","j","R","S","R","j","R",0,827,432
"2742","id0021",60,0,1,1,"safeDecoy","SDR","R",91,0.26,38,0.63,30,0.63,"S","D","f","S","R","S","j","S",0,889,644
"2743","id0021",61,0,1,1,"riskyDecoy","DSR","R",83,0.4,53,0.63,83,0.3,"D","S","j","S","R","S","f","R",0,1000,804
"2744","id0021",62,0,1,1,"safeDecoy","SRD","D",76,0.36,39,0.7,34,0.7,"S","R","j","R","R","D","f","R",0,735,625
"2745","id0021",63,0,1,1,"safeDecoy","DRS","S",91,0.34,48,0.64,40,0.64,"D","R","j","R","R","S","f","R",0,980,776
"2746","id0021",64,0,1,1,"riskyDecoy","RDS","S",74,0.27,27,0.74,74,0.13,"R","D","f","R","S","R","j","R",0,783,483
"2747","id0021",65,0,1,1,"safeDecoy","DSR","R",82,0.4,48,0.69,39,0.69,"D","S","j","S","S","R","j","R",0,992,786
"2748","id0021",66,0,1,1,"safeDecoy","RDS","S",89,0.32,43,0.66,34,0.66,"R","D","f","R","S","R","f","S",0,880,719
"2749","id0021",67,0,1,1,"safeDecoy","RSD","D",87,0.25,35,0.63,25,0.63,"R","S","f","R","R","D","f","R",0,738,479
"2750","id0021",68,0,1,1,"safeDecoy","SDR","R",90,0.33,44,0.67,38,0.67,"S","D","f","S","R","S","f","R",0,754,719
"2751","id0021",69,0,1,1,"safeDecoy","SRD","D",70,0.4,45,0.62,36,0.62,"S","R","j","R","D","R","j","R",1,971,440
"2752","id0021",70,0,1,1,"riskyDecoy","RSD","D",80,0.29,39,0.6,80,0.16,"R","S","f","R","R","D","f","R",0,666,785
"2753","id0021",71,0,1,1,"safeDecoy","DRS","S",95,0.32,38,0.8,28,0.8,"D","R","j","R","R","S","j","S",0,793,1694
"2754","id0021",72,0,1,1,"safeDecoy","DSR","R",84,0.21,27,0.65,18,0.65,"D","S","j","S","S","R","f","S",0,1297,794
"2755","id0021",73,0,1,1,"riskyDecoy","SDR","R",86,0.36,54,0.57,86,0.22,"S","D","j","D","D","R","j","R",0,885,731
"2756","id0021",74,0,1,1,"riskyDecoy","SRD","D",89,0.43,53,0.72,89,0.31,"S","R","j","R","R","D","f","R",0,1189,563
"2757","id0021",75,0,1,1,"safeDecoy","RDS","S",96,0.23,28,0.8,22,0.8,"R","D","f","R","R","S","f","R",0,1120,752
"2758","id0021",76,0,1,1,"safeDecoy","RSD","D",73,0.34,44,0.57,38,0.57,"R","S","f","R","D","R","j","R",0,786,1109
"2759","id0021",77,0,1,1,"riskyDecoy","DRS","S",92,0.27,43,0.58,92,0.13,"D","R","j","R","R","S","f","R",0,982,641
"2760","id0021",78,0,1,1,"riskyDecoy","DSR","R",82,0.34,44,0.63,82,0.23,"D","S","f","D","R","D","f","R",0,689,764
"2761","id0021",79,0,1,1,"safeDecoy","SDR","R",99,0.26,40,0.65,35,0.65,"S","D","f","S","S","R","f","S",0,655,1036
"2762","id0021",80,0,1,1,"riskyDecoy","RDS","S",81,0.23,29,0.64,81,0.12,"R","D","f","R","S","R","f","S",0,1540,1122
"2763","id0021",81,0,1,1,"riskyDecoy","RSD","D",93,0.25,42,0.56,93,0.15,"R","S","f","R","D","R","j","R",0,651,543
"2764","id0021",82,0,1,1,"riskyDecoy","SDR","R",75,0.39,41,0.71,75,0.29,"S","D","f","S","R","S","f","R",1,1134,1456
"2765","id0021",83,0,1,1,"safeDecoy","SRD","D",93,0.37,61,0.56,55,0.56,"S","R","f","S","S","D","f","S",0,1073,653
"2766","id0021",84,0,1,1,"riskyDecoy","SRD","D",75,0.24,28,0.65,75,0.11,"S","R","j","R","R","D","f","R",0,753,457
"2767","id0021",85,0,1,1,"safeDecoy","DRS","S",91,0.23,28,0.76,22,0.76,"D","R","j","R","R","S","f","R",0,1231,1175
"2768","id0021",86,0,1,1,"safeDecoy","DSR","R",82,0.33,42,0.64,36,0.64,"D","S","f","D","D","R","j","R",0,1247,1272
